,SubjectInfo.subjID,Trials.trialID,absolute_onset,Trials.audio_lag_vs_video_lag,absolute_offset,SubjectInfo.testAge,SubjectInfo.gender,Trials.leftImage,Trials.rightImage,Trials.targetImage,Trials.targetAudio,Trials.trialType,Trials.carrier_onset,Trials.target_onset,Trials.target_offset,Trials.article_length,Trials.order,SubjectInfo.age_at_birth,SubjectInfo.language_list,SubjectInfo.condition_list,Trials.ordinal
0,NPV5EF,hard-bulldozer-tractor-distractor,2025-01-23 18:00:40.706,4.0,2025-01-23 18:00:47.973,570,m,bulldozer,tractor,tractor,find,hard-distractor,2,3.1647480000000003,4.144068000000001,0.184,12,39 weeks,en hak cmn ru,,3
0,BFLJ23,hard-cheese-butter-distractor,2025-01-29 21:39:41.400,86.0,2025-01-29 21:39:48.786,450,f,cheese,butter,butter,look_at,hard-distractor,2,3.2607480000000004,4.240068000000001,0.28,12,40 or more weeks,en,,3
0,YLPTX3,easy-potato-glasses,2025-01-29 17:36:06.372,258.0,2025-01-29 17:36:13.874,750,f,potato,glasses,potato,find,easy,2,3.222748,4.345515000000001,0.242,12,37 weeks,en,,3
0,dKKWAR,hard-turtle-frog,2025-01-23 19:26:27.466,3.0,2025-01-23 19:26:34.815,450,m,frog,turtle,turtle,see,hard,2,3.2497480000000003,4.229068,0.269,12,40 or more weeks,en,,3
0,FHADJV,easy-cheese-mud-distractor,2025-01-29 17:20:14.746,10.0,2025-01-29 17:20:22.038,630,f,cheese,mud,mud,find,easy-distractor,2,3.125748,4.0059070000000006,0.145,12,40 or more weeks,en,,3
0,QGVDBW,hard-snail-worm,2025-01-27 14:55:45.158,699.0,2025-01-27 14:55:53.180,480,m,worm,snail,snail,look_at,hard,2,3.1367480000000003,4.016907000000001,0.156,13,40 or more weeks,en ru,,4
0,M63GEd,hard-turtle-frog,2025-01-25 18:05:47.144,14.0,2025-01-25 18:05:54.491,660,f,turtle,frog,turtle,where,hard,2,3.231748,4.211068,0.251,13,38 weeks,en,,4
0,GNXMNQ,hard-turtle-frog-distractor,2025-01-24 00:44:16.390,30.0,2025-01-24 00:44:23.660,660,m,turtle,frog,frog,look_at,hard-distractor,2,3.182748,4.062907,0.202,13,37 weeks,en te ur,,4
0,ACW6AZ,easy-acorn-key-distractor,2025-01-26 17:06:08.178,180.0,2025-01-26 17:06:15.627,630,f,key,acorn,key,look_at,easy-distractor,2,3.275748,4.155907,0.295,13,39 weeks,en egy,,4
0,YK3WN6,hard-acorn-coconut,2025-01-27 22:37:49.021,24.0,2025-01-27 22:37:56.311,720,m,acorn,coconut,acorn,find,hard,2,3.216748,4.196068,0.236,13,39 weeks,en,,4
0,QGTESM,easy-snail-cow-distractor,2025-01-25 17:25:35.003,77.0,2025-01-25 17:25:42.486,630,m,cow,snail,cow,find,easy-distractor,2,3.1847480000000004,4.064907000000001,0.204,13,39 weeks,en,,4
0,FHRCdd,hard-turtle-frog,2025-01-24 17:28:23.913,243.0,2025-01-24 17:28:31.395,540,m,frog,turtle,turtle,where,hard,2,3.231748,4.211068,0.251,13,39 weeks,en ur,,4
0,QWGKVS,easy-turkey-swan-distractor,2025-01-24 16:54:31.095,7.0,2025-01-24 16:54:38.388,750,m,turkey,swan,swan,find,easy-distractor,2,3.110748,3.990907,0.13,13,39 weeks,en,,4
0,QEKHZQ,easy-turtle-horse-distractor,2025-01-26 21:15:07.916,3.0,2025-01-26 21:15:15.174,480,f,horse,turtle,horse,where,easy-distractor,2,3.149748,4.029907000000001,0.169,13,40 or more weeks,en vi,,4
0,XMJ25D,easy-bulldozer-orange-distractor,2025-01-23 19:44:50.903,86.0,2025-01-23 19:44:58.274,690,m,bulldozer,orange,orange,see,easy-distractor,2,3.1967480000000004,4.176068000000001,0.216,13,39 weeks,en,,4
0,cZRGZV,easy-bulldozer-orange-distractor,2025-01-27 01:04:25.490,139.0,2025-01-27 01:04:32.929,630,f,orange,bulldozer,orange,find,easy-distractor,2,3.1967480000000004,4.176068000000001,0.216,13,39 weeks,en es,,4
0,5QCS4M,easy-squirrel-eagle,2025-01-25 20:48:24.340,152.0,2025-01-25 20:48:31.746,750,f,eagle,squirrel,squirrel,find,easy,2,3.127748,4.107068,0.147,13,39 weeks,en ko,,4
0,CLHZRF,easy-potato-glasses,2025-01-28 15:12:53.078,185.0,2025-01-28 15:13:00.545,570,m,potato,glasses,potato,look_at,easy,2,3.210748,4.333515,0.23,13,37 weeks,en it,,4
0,UUQJAd,easy-cheese-mud,2025-01-24 13:27:09.398,168.0,2025-01-24 13:27:16.807,570,f,mud,cheese,cheese,see,easy,2,3.1487480000000003,4.128068000000001,0.168,13,38 weeks,en fr,,4
0,L7Y4Y6,hard-snail-worm-distractor,2025-01-27 13:45:47.063,336.0,2025-01-27 13:45:54.661,510,m,worm,snail,worm,look_at,hard-distractor,2,3.1197480000000004,3.9999070000000003,0.139,13,40 or more weeks,en,,4
0,BFLJ23,hard-squirrel-monkey-distractor,2025-01-29 21:39:50.694,128.0,2025-01-29 21:39:58.086,450,f,squirrel,monkey,monkey,find,hard-distractor,2,3.1697480000000002,4.149068,0.189,13,40 or more weeks,en,,4
0,6THVBG,easy-turtle-horse-distractor,2025-01-12 15:18:20.439,88.0,2025-01-12 15:18:27.785,510,f,turtle,horse,horse,look_at,easy-distractor,2,3.149748,4.029907000000001,0.169,13,39 weeks,en,,4
0,HEYJKC,hard-snail-worm-distractor,2025-01-27 14:01:08.076,85.0,2025-01-27 14:01:15.434,600,m,snail,worm,worm,find,hard-distractor,2,3.182748,4.062907,0.202,13,39 weeks,en,,4
