image_similarity,text1,epoch,text2,text_similarity,multimodal_similarity
0.4955992,pot,5,potato,0.64760786,0.3175437
0.6356625,tractor,5,bulldozer,0.7556817,0.41002208
0.6671513,worm,5,snail,0.7496333,0.45055127
0.73768395,coconut,5,acorn,0.70375925,0.42326188
0.42880905,dresser,5,balloon,0.5726123,0.24207401
0.6496164,kite,5,balloon,0.7036432,0.3477112
0.53562087,sock,5,bathtub,0.6161046,0.33638227
0.6996642,shower,5,bathtub,0.812628,0.43621242
0.47578973,ladybug,5,camel,0.54819435,0.11402327
0.6656626,elephant,5,camel,0.7754997,0.33620864
0.52698797,zipper,5,cloud,0.567063,0.17836833
0.7265581,tree,5,cloud,0.6974852,0.29150403
0.5047545,seahorse,5,crow,0.4926907,0.15669262
0.6632617,penguin,5,crow,0.7301106,0.36215824
0.5478417,butterfly,5,duck,0.679347,0.2937038
0.58530086,chicken,5,duck,0.80711,0.31302017
0.525597,walrus,5,lizard,0.555622,0.1586315
0.8042202,snake,5,lizard,0.83418584,0.46572882
0.50273424,airplane,5,truck,0.74334234,0.29887807
0.4082322,car,5,truck,0.83124727,0.5316483
0.67998165,turkey,6,swan,0.6718592,0.3596332
0.53143156,turtle,6,horse,0.7164056,0.2144661
0.5089454,cheese,6,mud,0.6371127,0.41494876
0.5940333,squirrel,6,eagle,0.74329,0.22660118
0.5107546,potato,6,glasses,0.59070575,0.23613888
0.53537774,bulldozer,6,orange,0.6428136,0.2591517
0.57952094,snail,6,cow,0.66355556,0.19243449
0.43384895,acorn,6,key,0.66312426,0.18112111
0.5874097,turkey,6,goat,0.687885,0.2947306
0.65964466,turtle,6,frog,0.830235,0.46182406
0.7530516,cheese,6,butter,0.7997941,0.51064765
0.7012568,squirrel,6,monkey,0.7842474,0.32204694
0.52230364,potato,6,pot,0.6767651,0.20348495
0.6515379,bulldozer,6,tractor,0.8044132,0.3225925
0.7098752,snail,6,worm,0.79672444,0.39641368
0.6967608,acorn,6,coconut,0.7436712,0.39005107
0.4308265,balloon,6,dresser,0.6476491,0.19379556
0.6374474,balloon,6,kite,0.73715246,0.412955
0.52023536,bathtub,6,sock,0.65822005,0.14315677
0.7289132,bathtub,6,shower,0.8138634,0.40387362
0.48254302,camel,6,ladybug,0.5628195,0.16574568
0.66663086,camel,6,elephant,0.773428,0.38322157
0.5715694,cloud,6,zipper,0.5941919,0.2504707
0.74759775,cloud,6,tree,0.73502904,0.403346
0.51578754,crow,6,seahorse,0.53480345,0.22101521
0.6312922,crow,6,penguin,0.77587503,0.35654563
0.555615,duck,6,butterfly,0.68191874,0.29969501
0.64673173,duck,6,chicken,0.80746615,0.44218665
0.5830243,lizard,6,walrus,0.57088435,0.2921855
0.8140853,lizard,6,snake,0.86120784,0.44069147
0.5583331,truck,6,airplane,0.7867249,0.35884053
0.3987996,truck,6,car,0.87090063,0.23833978
0.67998165,swan,6,turkey,0.6718592,0.35515696
0.53143156,horse,6,turtle,0.7164056,0.27708864
0.5089454,mud,6,cheese,0.6371127,0.25833517
0.5940333,eagle,6,squirrel,0.74329,0.30010134
0.5107546,glasses,6,potato,0.59070575,0.26620966
0.53537774,orange,6,bulldozer,0.6428136,0.2980963
0.57952094,cow,6,snail,0.66355556,0.30371344
0.43384895,key,6,acorn,0.66312426,0.43813264
0.5874097,goat,6,turkey,0.687885,0.3292724
0.65964466,frog,6,turtle,0.830235,0.33948714
0.7530516,butter,6,cheese,0.7997941,0.40667206
0.7012568,monkey,6,squirrel,0.7842474,0.41817802
0.52230364,pot,6,potato,0.6767651,0.42232758
0.6515379,tractor,6,bulldozer,0.8044132,0.4378602
0.7098752,worm,6,snail,0.79672444,0.4358235
0.6967608,coconut,6,acorn,0.7436712,0.4231838
0.4308265,dresser,6,balloon,0.6476491,0.28552026
0.6374474,kite,6,balloon,0.73715246,0.35126317
0.52023536,sock,6,bathtub,0.65822005,0.3945164
0.7289132,shower,6,bathtub,0.8138634,0.45922172
0.48254302,ladybug,6,camel,0.5628195,0.14757097
0.66663086,elephant,6,camel,0.773428,0.35177195
0.5715694,zipper,6,cloud,0.5941919,0.23887289
0.74759775,tree,6,cloud,0.73502904,0.31530923
0.51578754,seahorse,6,crow,0.53480345,0.15657204
0.6312922,penguin,6,crow,0.77587503,0.35317403
0.555615,butterfly,6,duck,0.68191874,0.29321373
0.64673173,chicken,6,duck,0.80746615,0.3199268
0.5830243,walrus,6,lizard,0.57088435,0.21223277
0.8140853,snake,6,lizard,0.86120784,0.4552316
0.5583331,airplane,6,truck,0.7867249,0.35638493
0.3987996,car,6,truck,0.87090063,0.5007088
0.665938,turkey,7,swan,0.7292603,0.40171468
0.56060153,turtle,7,horse,0.740895,0.19472021
0.44397482,cheese,7,mud,0.64169914,0.40209883
0.5988708,squirrel,7,eagle,0.68099993,0.23179758
0.5073762,potato,7,glasses,0.566906,0.2136721
0.5461189,bulldozer,7,orange,0.5941822,0.2469135
0.5699108,snail,7,cow,0.6355751,0.17527497
0.47056624,acorn,7,key,0.6491796,0.22496313
0.58482057,turkey,7,goat,0.7304641,0.3502633
0.7156437,turtle,7,frog,0.84627455,0.457147
0.7467167,cheese,7,butter,0.82213324,0.5181788
0.64941,squirrel,7,monkey,0.76789504,0.30672532
0.50572896,potato,7,pot,0.69934505,0.15540361
0.65508723,bulldozer,7,tractor,0.7988124,0.322991
0.6425844,snail,7,worm,0.8145279,0.3839243
0.70886976,acorn,7,coconut,0.7428593,0.4164886
0.4176508,balloon,7,dresser,0.6131889,0.23544955
0.63177603,balloon,7,kite,0.71414465,0.42966992
0.4972726,bathtub,7,sock,0.65325904,0.16364819
0.75027007,bathtub,7,shower,0.8143058,0.39935434
0.52246565,camel,7,ladybug,0.5448919,0.12518108
0.7105075,camel,7,elephant,0.79436576,0.365178
0.5871834,cloud,7,zipper,0.5784893,0.31338412
0.76651776,cloud,7,tree,0.73959535,0.3979301
0.514439,crow,7,seahorse,0.58352953,0.21657038
0.6706495,crow,7,penguin,0.78473455,0.3881374
0.551399,duck,7,butterfly,0.6998324,0.3220657
0.6325744,duck,7,chicken,0.8170986,0.42336905
0.5864914,lizard,7,walrus,0.5576225,0.26835716
0.7946907,lizard,7,snake,0.8512815,0.4149484
0.58281714,truck,7,airplane,0.78668183,0.34851384
0.45347354,truck,7,car,0.85740733,0.18899632
0.665938,swan,7,turkey,0.7292603,0.3454957
0.56060153,horse,7,turtle,0.740895,0.30199802
0.44397482,mud,7,cheese,0.64169914,0.19172299
0.5988708,eagle,7,squirrel,0.68099993,0.20259821
0.5073762,glasses,7,potato,0.566906,0.2473433
0.5461189,orange,7,bulldozer,0.5941822,0.2990722
0.5699108,cow,7,snail,0.6355751,0.32411796
0.47056624,key,7,acorn,0.6491796,0.4343207
0.58482057,goat,7,turkey,0.7304641,0.28511286
0.7156437,frog,7,turtle,0.84627455,0.39862186
0.7467167,butter,7,cheese,0.82213324,0.38467574
0.64941,monkey,7,squirrel,0.76789504,0.40592068
0.50572896,pot,7,potato,0.69934505,0.42487055
0.65508723,tractor,7,bulldozer,0.7988124,0.44179863
0.6425844,worm,7,snail,0.8145279,0.43887502
0.70886976,coconut,7,acorn,0.7428593,0.40863675
0.4176508,dresser,7,balloon,0.6131889,0.244492
0.63177603,kite,7,balloon,0.71414465,0.32729506
0.4972726,sock,7,bathtub,0.65325904,0.3105536
0.75027007,shower,7,bathtub,0.8143058,0.43839335
0.52246565,ladybug,7,camel,0.5448919,0.17869925
0.7105075,elephant,7,camel,0.79436576,0.3973813
0.5871834,zipper,7,cloud,0.5784893,0.22430873
0.76651776,tree,7,cloud,0.73959535,0.33835518
0.514439,seahorse,7,crow,0.58352953,0.18528426
0.6706495,penguin,7,crow,0.78473455,0.3608871
0.551399,butterfly,7,duck,0.6998324,0.3266806
0.6325744,chicken,7,duck,0.8170986,0.3406399
0.5864914,walrus,7,lizard,0.5576225,0.21085405
0.7946907,snake,7,lizard,0.8512815,0.4749291
0.58281714,airplane,7,truck,0.78668183,0.3574165
0.45347354,car,7,truck,0.85740733,0.5151667
0.612557,turkey,8,swan,0.7353925,0.37799418
0.5572121,turtle,8,horse,0.7325357,0.13507086
0.48918065,cheese,8,mud,0.6281575,0.3846134
0.5616563,squirrel,8,eagle,0.71034014,0.18233192
0.5208429,potato,8,glasses,0.6249131,0.20820028
0.5352248,bulldozer,8,orange,0.59707373,0.22421998
0.54582494,snail,8,cow,0.64867765,0.11816138
0.44690895,acorn,8,key,0.61662924,0.21467102
0.5941487,turkey,8,goat,0.72382045,0.37866312
0.7242352,turtle,8,frog,0.8160852,0.45279193
0.733972,cheese,8,butter,0.7942254,0.49755883
0.67171925,squirrel,8,monkey,0.78166467,0.3413903
0.5434605,potato,8,pot,0.73504525,0.25225687
0.6713037,bulldozer,8,tractor,0.82143116,0.32798195
0.6732397,snail,8,worm,0.8115491,0.38775277
0.7262443,acorn,8,coconut,0.7066966,0.39531517
0.43329653,balloon,8,dresser,0.6727624,0.30581433
0.6739418,balloon,8,kite,0.78516257,0.43710732
0.5310432,bathtub,8,sock,0.6582574,0.14722931
0.74669373,bathtub,8,shower,0.8171825,0.39957315
0.5173138,camel,8,ladybug,0.6007898,0.14060688
0.695459,camel,8,elephant,0.80937004,0.40704077
0.5785595,cloud,8,zipper,0.6102728,0.28037536
0.75508505,cloud,8,tree,0.7329012,0.41828263
0.521064,crow,8,seahorse,0.58475846,0.2442925
0.6672678,crow,8,penguin,0.78817964,0.387595
0.5861889,duck,8,butterfly,0.6974892,0.29109377
0.60802335,duck,8,chicken,0.8132363,0.36893153
0.59187496,lizard,8,walrus,0.5347112,0.25618196
